pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days
1166,1,1,0,Volunteers,MrSaints,2016-05-06T22:53:35Z,1,0,1,24
1161,4,6,2,Volunteers,twellspring,2017-05-01T00:06:01Z,29,3,4,397
1151,2,0,5,Volunteers,pchaigno,2017-05-01T00:32:08Z,15,4,2,406
1150,1,1,0,Volunteers,gasolin,2017-05-01T00:30:29Z,1,8,1,406
1149,1,2,0,Volunteers,loafoe,2016-03-21T15:19:56Z,1,0,1,1
1148,1,1,0,Volunteers,akameco,2016-05-06T22:56:52Z,2,2,2,49
1147,1,1,0,Volunteers,KasperDeng,2016-05-06T22:55:40Z,1,0,1,49
1135,1,1,0,Volunteers,MonicaG,2016-02-25T22:59:30Z,1,1,1,2
1133,1,1,0,Employees,technicalpickles,2016-02-25T23:00:29Z,10,10,1,8
1130,1,2,0,Volunteers,pra85,2016-02-26T19:50:30Z,1,1,1,21
1123,1,4,0,Volunteers,xt0rted,2016-02-26T00:08:12Z,2,2,1,32
1122,1,1,0,Volunteers,shaunkawano,2016-01-20T13:50:01Z,1,1,1,0
1121,2,0,0,Employees,technicalpickles,2016-01-20T18:49:22Z,43,1,2,0
1120,2,0,0,Employees,technicalpickles,2016-01-20T03:47:10Z,2,1,2,0
1119,2,3,0,Volunteers,sgerrand,2016-01-20T03:56:27Z,3,3,2,1
1116,1,1,0,Volunteers,jackmawer,2016-01-20T03:36:39Z,1,1,1,7
1114,1,0,0,Employees,technicalpickles,2016-01-09T00:11:33Z,1,1,1,0
1111,1,2,0,Employees,technicalpickles,2016-01-20T03:37:04Z,1,1,1,11
1109,1,2,1,Employees,technicalpickles,2016-01-20T03:38:06Z,7,7,2,11
1106,3,3,4,Volunteers,gotchahn,2017-05-24T03:17:54Z,12,8,4,504
1103,1,0,0,Volunteers,aqnouch,2016-01-08T23:34:57Z,1,1,1,7
1101,1,1,0,Volunteers,cycomachead,2016-01-08T23:45:50Z,3,3,1,21
1099,1,2,0,Volunteers,philnash,2016-01-08T23:48:41Z,2,1,1,22
1097,1,1,0,Volunteers,EllisV,2016-01-09T00:08:50Z,1,0,1,27
1095,2,2,0,Volunteers,kauffecup,2016-01-20T03:38:23Z,112,0,2,40
1094,2,3,0,Volunteers,mdelagrange,2016-01-08T23:55:12Z,80,0,2,35
1092,1,1,0,Volunteers,jbick,2016-01-09T00:14:15Z,5,1,1,44
1083,3,1,0,Volunteers,bhuga,2015-11-13T18:54:58Z,21,1,3,0
1081,3,7,0,Volunteers,bhuga,2016-01-20T03:45:01Z,190,18,11,69
1077,3,2,0,Volunteers,scboucher,2015-11-13T02:16:43Z,5,2,3,10
1074,1,5,1,Volunteers,msabramo,2015-10-27T23:14:26Z,1,1,1,0
1069,2,9,0,Employees,technicalpickles,2015-11-12T20:35:09Z,166,21,7,22
1068,5,5,1,Volunteers,scboucher,2015-10-22T20:31:53Z,15,16,5,9
1052,1,4,0,Employees,technicalpickles,2016-01-20T03:46:37Z,4,1,1,126
1049,1,3,0,Volunteers,doque,2015-09-15T20:25:23Z,1,1,1,0
1042,1,1,0,Volunteers,xuoe,2015-08-31T13:45:17Z,3,3,2,0
1041,3,1,0,Volunteers,davidkassa,2015-10-09T17:22:40Z,2490,327,31,40
1039,1,0,0,Volunteers,danielcompton,2015-08-28T13:41:31Z,1,1,1,0
1038,2,1,0,Volunteers,bhuga,2015-08-26T05:43:25Z,8,3,2,0
1037,1,2,0,Volunteers,michaelansel,2015-08-26T01:18:00Z,8,5,1,0
1035,2,1,0,Employees,technicalpickles,2015-08-24T16:53:29Z,17,3,3,0
1033,1,0,0,Employees,bkeepers,2015-08-24T14:01:01Z,2,13,1,2
1032,4,0,0,Volunteers,michaelansel,2015-08-24T14:05:15Z,64,82,6,9
1030,1,6,0,Volunteers,michaelansel,2015-08-14T16:57:54Z,8,1,2,0
1028,1,2,2,Volunteers,michaelansel,2015-08-13T22:44:58Z,37,7,4,0
1021,12,19,6,Volunteers,bhuga,2015-11-12T20:29:15Z,845,240,40,98
1020,1,3,0,Volunteers,bhuga,2015-08-14T21:07:26Z,2,1,2,9
1019,14,10,53,Volunteers,bhuga,2015-08-24T16:05:25Z,333,78,26,19
1017,2,1,0,Volunteers,kristenmills,2015-08-04T00:30:29Z,9,2,2,3
1016,1,12,0,Volunteers,michaelansel,2015-07-31T19:44:34Z,8,1,2,0
1012,2,6,2,Volunteers,alininja,2015-10-09T19:50:55Z,3,2,2,77
1011,1,1,0,Volunteers,sdimkov,2015-08-12T20:25:42Z,1,1,1,21
1007,2,2,0,Volunteers,MyvarHD,2015-07-13T22:20:17Z,2,2,2,2
1006,2,1,0,Volunteers,jennifersmith,2015-07-10T20:16:37Z,5,5,5,1
1005,1,1,0,Employees,bkeepers,2015-07-20T04:38:19Z,3,0,1,11
1004,2,3,1,Volunteers,sdimkov,2015-07-17T20:33:17Z,4,4,2,11
1003,2,7,0,Volunteers,sdimkov,2015-08-24T15:03:08Z,1177,113,22,50
999,1,1,0,Volunteers,sdimkov,2015-07-02T02:37:09Z,1,0,1,0
993,1,6,0,Volunteers,arcturial,2015-07-06T16:45:49Z,1,0,1,10
991,1,1,0,Volunteers,jexe,2015-06-24T22:26:22Z,1,0,1,0
986,6,12,17,Volunteers,michaelansel,2015-08-24T14:56:09Z,1317,166,29,67
984,8,6,23,Volunteers,uugengiven,2015-08-24T15:21:25Z,193,77,14,69
982,1,2,0,Employees,bkeepers,2015-06-20T13:36:29Z,1,4,1,4
981,1,5,0,Volunteers,michaelansel,2015-06-12T20:50:01Z,8,2,2,0
980,1,1,0,Volunteers,jasonkarns,2015-06-12T01:38:23Z,1,0,1,0
978,19,16,2,Volunteers,jasonkarns,2017-05-23T23:06:42Z,88,113,29,712
975,2,7,2,Volunteers,michaelansel,2015-06-10T22:49:26Z,65,91,3,0
974,1,1,0,Volunteers,bhuga,2015-06-10T01:06:39Z,19,18,1,0
973,1,1,0,Volunteers,Sing-Li,2015-06-09T21:56:25Z,1,0,1,0
971,4,13,6,Volunteers,geoffreyanderson,2015-06-22T21:10:49Z,58,45,4,13
970,6,9,1,Employees,bkeepers,2016-05-06T22:59:01Z,2331,366,47,333
969,2,0,3,Employees,technicalpickles,2015-06-09T02:29:11Z,10,2,3,0
967,1,1,0,Volunteers,sdimkov,2015-06-08T15:53:12Z,96,0,1,2
966,1,2,0,Employees,gjtorikian,2015-06-05T20:43:07Z,20,20,7,0
964,2,0,0,Employees,technicalpickles,2015-06-05T19:39:54Z,13,1,2,0
962,1,1,0,Employees,bkeepers,2015-06-05T17:42:41Z,7,14,1,0
961,1,1,0,Employees,bkeepers,2015-06-04T20:25:43Z,1,2,1,0
959,1,1,0,Employees,bkeepers,2015-06-04T01:44:48Z,1,1,1,0
956,14,2,13,Employees,bkeepers,2015-06-05T19:28:20Z,77,121,15,2
955,1,9,4,Volunteers,praseodym,2015-06-10T22:14:44Z,27,2,2,9
951,1,2,0,Volunteers,pdehaan,2015-06-01T18:13:37Z,1,6,1,8
947,1,0,0,Volunteers,pauliwang,2015-05-26T16:33:27Z,1,1,1,5
945,1,1,0,Volunteers,adamgross42,2015-06-04T15:16:51Z,2,2,1,17
944,1,0,0,Volunteers,adamgross42,2015-05-26T17:18:14Z,1,1,1,8
942,1,0,0,Volunteers,adamgross42,2015-05-26T17:17:57Z,1,1,1,9
938,1,1,2,Volunteers,ta1kt0me,2015-06-08T15:50:00Z,1,0,1,30
935,1,3,0,Volunteers,jcbantuelle,2015-05-14T19:16:18Z,1,0,1,6
931,1,1,0,Volunteers,petedmarsh,2015-06-08T15:55:01Z,3,0,1,39
929,1,1,0,Volunteers,sdimkov,2015-04-28T14:37:09Z,1,1,1,0
927,1,6,0,Volunteers,sdimkov,2015-06-08T15:52:56Z,2,1,1,42
926,1,1,0,Volunteers,michaelansel,2015-04-27T17:40:56Z,2,0,1,4
918,1,4,0,Volunteers,ChrisLundquist,2015-04-10T21:02:25Z,1,1,1,0
915,1,0,0,Employees,technicalpickles,2015-04-03T21:47:35Z,8,1,2,0
914,2,3,0,Employees,technicalpickles,2015-04-03T21:31:43Z,7,5,3,0
908,1,1,0,Employees,keithduncan,2015-04-03T21:34:49Z,1,1,1,9
906,1,0,0,Employees,technicalpickles,2015-03-23T19:42:47Z,1,1,1,0
905,1,0,0,Employees,technicalpickles,2015-03-23T19:30:27Z,1,0,1,0
903,3,5,4,Volunteers,michaelansel,2015-06-05T19:08:45Z,467,1,3,74
899,1,8,1,Volunteers,Taytay,2015-04-03T21:02:52Z,7,1,1,16
898,2,2,0,Volunteers,100ideas,2015-03-23T15:56:18Z,14,5,2,5
889,1,0,0,Volunteers,mcmahoniel,2015-03-18T15:13:31Z,1,1,1,3
888,2,7,0,Volunteers,geoffreyanderson,2015-04-03T21:36:12Z,71,71,3,20
887,1,0,0,Employees,technicalpickles,2015-03-13T21:02:03Z,6,1,2,0
886,1,0,0,Employees,technicalpickles,2015-03-13T20:56:53Z,1,0,1,0
885,2,0,0,Employees,technicalpickles,2015-03-13T20:29:24Z,6,1,2,0
884,6,3,0,Volunteers,michaelansel,2015-06-05T19:17:11Z,833,166,20,83
883,11,6,8,Employees,leefaus,2015-03-19T18:10:17Z,117,34,12,5
882,3,0,2,Employees,technicalpickles,2015-03-13T17:49:12Z,30,30,11,0
881,7,3,5,Employees,technicalpickles,2015-03-13T00:43:07Z,46,15,25,0
879,1,0,0,Employees,technicalpickles,2015-03-12T02:36:43Z,5,0,1,0
877,14,2,12,Employees,technicalpickles,2015-03-13T19:48:47Z,150,116,18,4
876,1,1,0,Employees,technicalpickles,2015-03-07T00:34:47Z,6,1,2,0
870,3,0,1,Employees,technicalpickles,2015-02-20T18:40:01Z,3,4,4,0
869,1,0,0,Volunteers,afeld,2015-02-17T15:27:29Z,5,1,1,0
867,2,5,0,Employees,technicalpickles,2015-02-17T16:51:05Z,12,2,3,0
865,1,0,0,Volunteers,hhaidar,2015-02-17T01:13:45Z,1,0,1,1
864,1,0,0,Volunteers,michaelansel,2015-02-20T16:13:39Z,2,0,1,5
857,2,5,1,Volunteers,ablwr,2015-02-11T21:19:30Z,4,4,2,10
856,1,0,0,Employees,technicalpickles,2015-01-30T23:20:58Z,7,7,1,0
849,1,0,0,Volunteers,anroots,2015-01-23T18:04:18Z,1,0,1,1
848,1,2,0,Volunteers,aroben,2015-02-17T01:11:50Z,3,2,1,25
842,1,2,0,Volunteers,xrd,2015-01-05T17:20:14Z,2,2,1,6
840,2,1,0,Employees,technicalpickles,2014-12-22T22:23:23Z,11,2,2,0
839,3,4,3,Volunteers,todd,2015-03-07T00:26:06Z,5,3,3,74
837,1,0,0,Employees,technicalpickles,2014-12-22T21:05:27Z,2,1,1,0
836,6,1,0,Employees,technicalpickles,2014-12-22T17:06:00Z,571,1160,54,0
835,2,0,0,Employees,technicalpickles,2014-12-22T16:35:21Z,9,3,2,2
832,1,0,0,Volunteers,brianshumate,2014-12-19T23:02:07Z,12,0,1,3
831,1,7,0,Volunteers,kballard,2014-12-22T21:48:50Z,1,6,1,6
825,1,0,0,Employees,technicalpickles,2014-12-05T23:07:30Z,7,1,2,0
824,3,3,0,Employees,keithduncan,2014-12-05T21:09:22Z,10,3,3,1
820,1,2,0,Volunteers,stkent,2014-11-20T20:06:40Z,1,1,1,0
819,1,3,0,Volunteers,akiomik,2014-11-25T22:58:26Z,1,0,1,6
818,1,2,0,Volunteers,JrGoodle,2014-11-17T15:34:03Z,1,1,1,4
817,1,0,0,Volunteers,TheIronMarx,2014-11-07T17:30:16Z,1,1,1,0
816,1,0,0,Volunteers,benodom,2014-11-06T18:56:58Z,1,1,1,0
814,4,0,0,Employees,technicalpickles,2014-11-07T23:56:45Z,31,8,4,6
810,1,0,0,Employees,technicalpickles,2014-10-29T15:38:16Z,9,1,2,0
809,1,0,0,Employees,technicalpickles,2014-10-29T15:24:44Z,1,1,1,0
808,1,2,0,Employees,technicalpickles,2014-10-29T14:23:05Z,7,1,2,0
806,1,4,0,Volunteers,tombell,2014-10-29T14:09:33Z,1,1,1,1
805,1,2,0,Volunteers,MrSaints,2014-10-27T17:58:45Z,1,1,1,0
803,54,61,51,Volunteers,michaelansel,2015-07-30T22:11:33Z,3661,1598,150,278
802,1,0,0,Employees,technicalpickles,2014-10-23T19:47:27Z,9,9,1,0
801,9,13,11,Volunteers,michaelansel,2015-06-05T19:27:14Z,1613,562,49,225
800,26,2,0,Employees,technicalpickles,2014-12-05T22:29:20Z,165,107,28,43
797,2,0,0,Employees,technicalpickles,2014-10-21T00:14:09Z,3,3,2,0
796,1,0,0,Employees,technicalpickles,2014-10-20T11:43:21Z,6,1,2,0
795,1,2,0,Volunteers,rantrix,2014-10-29T14:36:08Z,1,1,1,10
794,1,4,0,Volunteers,ahayworth,2014-10-29T14:48:20Z,2,2,1,12
793,2,0,0,Employees,technicalpickles,2014-10-16T21:20:15Z,6,1,2,0
791,2,1,0,Volunteers,aroben,2014-10-16T21:01:17Z,15,4,4,0
788,1,1,1,Volunteers,kevinsimper,2015-02-13T23:00:24Z,2,0,1,125
784,1,0,0,Volunteers,sethjackson,2014-10-08T14:06:05Z,1,0,1,0
776,1,0,0,Employees,technicalpickles,2014-09-25T00:50:26Z,6,1,2,0
769,1,2,0,Volunteers,unok,2014-09-25T00:17:10Z,3,3,1,6
764,8,29,0,Employees,technicalpickles,2014-10-20T11:38:00Z,60,899,34,39
762,1,2,0,Volunteers,bouzuya,2014-10-29T15:03:52Z,30,31,1,50
756,1,0,0,Volunteers,packetmonkey,2014-09-03T20:48:59Z,0,1,1,0
754,1,0,0,Volunteers,tspascoal,2014-08-29T18:06:07Z,1,0,1,0
750,1,1,0,Volunteers,charlie-hadden,2014-08-22T13:31:45Z,2,2,1,0
749,1,0,0,Employees,technicalpickles,2014-08-22T04:32:04Z,1,0,1,0
748,10,4,0,Employees,technicalpickles,2014-09-25T00:42:53Z,53,54,14,33
747,3,0,0,Employees,technicalpickles,2014-08-22T01:36:29Z,7,1,3,0
746,3,6,0,Employees,technicalpickles,2014-08-22T01:25:08Z,6,127,6,0
745,1,0,0,Volunteers,jjasghar,2014-08-19T15:02:46Z,2,1,1,0
743,1,0,0,Volunteers,huafu,2014-08-18T15:33:30Z,1,0,1,6
737,1,1,0,Volunteers,rsanheim,2014-08-07T18:29:41Z,1,1,1,0
736,1,0,0,Employees,technicalpickles,2014-07-24T15:16:19Z,10,1,2,0
732,2,2,0,Employees,technicalpickles,2014-07-24T14:30:03Z,35,26,3,8
720,7,4,6,Employees,parkr,2014-07-24T15:07:12Z,62,7,9,34
712,1,0,0,Volunteers,ngs,2014-06-12T21:36:01Z,2,2,1,1
708,1,7,5,Volunteers,softarn,2014-06-10T18:28:27Z,8,2,1,7
703,1,0,0,Volunteers,tricknotes,2014-05-19T21:36:31Z,1,1,1,2
702,1,0,0,Employees,technicalpickles,2014-05-15T13:43:24Z,2,2,1,0
701,2,0,0,Employees,technicalpickles,2014-05-15T13:28:04Z,6,1,2,0
699,2,1,0,Employees,technicalpickles,2014-05-15T13:18:32Z,2,0,2,0
697,1,2,0,Volunteers,thiagogabriel,2014-05-19T14:41:43Z,3,0,1,8
696,1,0,0,Volunteers,canadianveggie,2014-05-19T13:36:03Z,6,0,1,10
695,1,4,0,Volunteers,dblandin,2014-05-19T13:29:17Z,4,2,1,11
689,1,2,0,Employees,technicalpickles,2014-04-20T22:32:00Z,3,3,1,0
678,5,6,3,Volunteers,ajkerr,2017-05-20T16:11:23Z,40,8,5,1144
677,1,1,0,Volunteers,miyagawa,2014-04-01T21:48:10Z,1,0,1,0
671,1,0,0,Volunteers,Restuta,2014-03-24T19:16:54Z,1,0,1,4
667,1,9,0,Volunteers,jbr,2014-04-15T17:55:57Z,1,1,1,30
663,1,6,0,Volunteers,atmos,2014-03-05T06:43:11Z,10,1,4,0
661,1,3,0,Volunteers,lusis,2014-03-10T15:40:11Z,3,2,1,6
660,2,3,1,Volunteers,ymendel,2014-10-16T21:01:06Z,198,169,25,230
654,1,1,2,Volunteers,adamvduke,2014-02-17T19:08:44Z,1,1,1,0
642,1,0,0,Volunteers,thogg4,2014-01-31T17:28:42Z,12,0,1,1
641,1,0,0,Volunteers,khellang,2014-01-28T16:46:45Z,1,1,1,0
640,1,1,0,Volunteers,tricknotes,2014-01-24T17:01:49Z,11,11,3,3
637,2,1,0,Volunteers,tricknotes,2014-01-20T18:48:30Z,2,0,2,3
636,1,1,0,Volunteers,searls,2014-01-15T15:35:42Z,1,0,1,0
635,1,0,0,Volunteers,tricknotes,2014-01-15T22:58:49Z,1,1,1,1
634,1,0,0,Volunteers,tricknotes,2014-01-14T15:17:31Z,1,1,1,0
633,1,0,0,Volunteers,spajus,2014-01-13T17:08:06Z,1,1,1,1
632,1,1,0,Volunteers,spajus,2014-01-10T16:21:39Z,2,2,1,0
631,1,0,0,Volunteers,vinbarnes,2014-01-08T18:18:41Z,1,1,1,0
629,1,0,0,Volunteers,xhan,2014-01-01T19:21:53Z,1,0,1,0
628,3,4,0,Volunteers,joshuarubin,2014-01-10T16:09:20Z,7,1,3,9
627,2,1,0,Employees,technicalpickles,2013-12-31T23:00:43Z,3,2,2,0
625,1,0,0,Employees,technicalpickles,2013-12-31T18:13:26Z,0,22,1,0
624,5,0,0,Employees,technicalpickles,2013-12-31T18:00:51Z,84,9,5,0
620,1,0,0,Volunteers,davereid,2013-12-20T16:13:02Z,10,4,1,0
618,1,2,0,Volunteers,akiomik,2013-12-16T04:17:24Z,1,1,1,0
617,1,0,0,Volunteers,aendrew,2013-12-12T14:57:54Z,1,1,1,0
609,2,6,0,Volunteers,smerrill,2013-12-17T15:23:27Z,2,2,2,26
601,1,1,0,Employees,technicalpickles,2013-10-29T21:26:53Z,1,1,1,4
600,1,0,0,Volunteers,wingrunr21,2013-10-29T21:34:06Z,1,1,1,7
599,1,4,0,Volunteers,cannikin,2013-12-31T18:30:17Z,1,1,1,75
592,1,1,0,Employees,mgriffin,2013-10-04T18:48:01Z,3,3,1,0
590,1,0,0,Volunteers,pawelrychlik,2013-09-26T23:20:34Z,3,3,1,0
585,2,0,0,Employees,simonsj,2013-09-17T20:12:18Z,9,8,2,0
583,1,0,0,Volunteers,spajus,2013-09-11T23:22:09Z,1,0,1,0
582,1,0,0,Volunteers,vanetix,2013-09-10T21:35:50Z,3,3,1,0
579,1,1,0,Volunteers,balbeko,2013-08-25T10:30:43Z,51,2,1,0
578,1,0,0,Volunteers,thiagopnts,2013-08-24T22:26:16Z,4,0,1,0
576,2,1,0,Volunteers,commadelimited,2013-08-16T14:13:55Z,2,2,2,0
575,7,9,13,Volunteers,balbeko,2013-08-15T23:04:45Z,27,12,7,0
572,1,1,0,Volunteers,pseudomuto,2013-08-15T14:17:42Z,9,9,1,0
570,120,0,0,Volunteers,tombell,2013-08-13T17:33:29Z,5266,2656,253,0
569,4,0,0,Volunteers,jhubert,2013-08-13T17:35:43Z,73,6,4,0
566,2,0,2,Volunteers,jhubert,2013-08-10T23:18:06Z,7,0,2,0
563,1,0,0,Volunteers,tombell,2013-08-09T19:08:13Z,2,2,1,0
562,5,2,0,Volunteers,tombell,2013-08-12T17:57:30Z,58,39,8,2
560,1,4,0,Volunteers,nwest,2013-08-09T19:05:21Z,1,1,1,1
559,1,3,0,Volunteers,tombell,2013-08-08T14:19:24Z,1,23,1,0
558,1,1,0,Volunteers,nwest,2013-08-07T19:07:33Z,5,5,1,0
557,4,5,0,Volunteers,tombell,2013-08-09T16:34:35Z,38,14,4,2
555,1,1,0,Volunteers,felixdv,2013-08-06T17:46:38Z,1,1,1,3
554,1,0,0,Volunteers,tombell,2013-07-31T17:20:28Z,5,5,1,1
553,2,0,0,Volunteers,tombell,2013-07-29T17:59:55Z,2,2,2,1
548,1,1,0,Volunteers,preflightsiren,2013-08-16T18:43:39Z,33,1,1,21
547,1,1,0,Volunteers,knomedia,2013-07-26T02:47:15Z,1,1,1,0
546,2,14,0,Volunteers,halkeye,2013-08-10T12:03:55Z,30,2,6,15
545,1,1,0,Volunteers,needcaffeine,2013-07-25T03:56:43Z,1,1,1,0
543,1,1,0,Volunteers,balbeko,2013-07-24T03:04:36Z,16,3,2,0
540,1,0,0,Volunteers,bartolsthoorn,2013-07-22T14:24:04Z,1,1,1,0
539,21,3,0,Employees,technicalpickles,2013-07-21T19:22:22Z,415,399,39,0
538,1,0,0,Volunteers,tombell,2013-07-21T16:01:35Z,3,0,1,0
536,1,1,0,Volunteers,bartolsthoorn,2013-07-21T01:18:50Z,1,1,1,0
535,4,0,0,Volunteers,tombell,2013-07-21T14:58:56Z,13,18,5,0
533,1,0,0,Employees,technicalpickles,2013-07-19T20:20:48Z,12,1,2,0
532,1,2,0,Employees,technicalpickles,2013-07-19T20:08:48Z,10,7,1,0
524,1,0,0,Volunteers,rileytg,2013-06-26T21:31:17Z,1,1,1,0
520,2,0,0,Volunteers,timclipsham,2013-06-22T12:39:48Z,6,2,2,0
515,4,1,0,Volunteers,bhuga,2013-06-12T23:57:09Z,44,7,5,0
512,2,7,2,Volunteers,brentc,2013-06-10T20:27:03Z,20,8,4,0
509,1,0,0,Volunteers,mizzy,2013-06-10T14:04:55Z,1,1,1,0
508,1,1,0,Volunteers,tfausak,2013-06-08T22:34:31Z,6,1,1,0
505,1,0,0,Volunteers,jacksonhull,2013-06-06T08:32:27Z,1,1,1,0
503,1,0,0,Volunteers,aroben,2013-05-22T14:57:04Z,2,2,2,0
500,1,0,0,Volunteers,maxgoedjen,2013-05-14T13:28:49Z,0,3,1,0
497,1,5,0,Volunteers,aaronj1335,2013-05-08T16:18:02Z,1,0,1,0
496,2,1,0,Volunteers,ronaldevers,2013-05-07T11:54:13Z,5,6,2,1
491,2,1,4,Employees,brntbeer,2013-05-01T14:55:04Z,14,5,2,0
490,1,4,0,Volunteers,aroben,2013-04-29T15:29:39Z,1,0,1,0
489,1,0,0,Volunteers,shiwano,2013-05-01T14:55:50Z,3,2,1,3
483,1,0,0,Volunteers,dianakhuang,2013-04-23T18:32:07Z,1,0,1,0
482,1,0,0,Volunteers,kch,2013-04-23T10:50:10Z,2,2,2,0
481,1,0,0,Volunteers,rafaelfranca,2013-04-22T09:01:20Z,1,1,1,0
479,1,0,0,Volunteers,rafaelfranca,2013-04-18T12:23:25Z,1,1,1,0
475,2,0,0,Volunteers,tombell,2013-04-11T10:13:21Z,140,0,2,0
472,1,0,0,Volunteers,JetFault,2013-04-09T07:36:47Z,1,1,1,0
466,2,0,0,Volunteers,apolishch,2013-04-05T19:26:25Z,12,0,2,1
462,1,0,0,Volunteers,pcarrier,2013-04-03T11:31:27Z,9,2,1,0
460,1,0,0,Volunteers,bhardin,2013-03-29T23:48:54Z,1,1,1,0
459,1,2,0,Volunteers,ZachBeta,2013-03-29T19:04:38Z,7,2,1,0
458,1,0,0,Volunteers,ZachBeta,2013-03-29T17:49:47Z,3,1,1,0
457,1,0,0,Volunteers,creatorrr,2013-03-29T06:13:46Z,1,0,1,0
455,1,0,0,Volunteers,creatorrr,2013-03-28T09:01:55Z,7,0,1,0
454,1,0,0,Volunteers,kyleslattery,2013-03-27T21:37:02Z,1,1,1,0
452,1,0,0,Volunteers,creatorrr,2013-03-25T21:19:01Z,0,10,1,0
451,1,0,0,Volunteers,creatorrr,2013-03-25T17:50:07Z,1,5,1,0
450,1,0,0,Volunteers,busbyjon,2013-03-25T16:16:23Z,1,1,1,0
449,1,0,0,Volunteers,kashyapp,2013-03-25T06:50:02Z,1,1,1,0
447,5,3,4,Volunteers,creatorrr,2013-03-25T12:58:06Z,136,41,5,1
